[2026-03-25T05:45:48.673Z] GET http://localhost:8080/assets/Chat-7xL4I6of.js → 200 (?ms, 154051B)
[2026-03-25T05:45:48.673Z] GET http://localhost:8080/assets/ApiOutlined-2tFXlTcL.js → 200 (1ms, 2181B)
[2026-03-25T05:45:48.674Z] GET http://localhost:8080/assets/hooks-BZ6gZuFU.js → 200 (?ms, 194002B)
[2026-03-25T05:45:48.674Z] GET http://localhost:8080/assets/InboxOutlined-AYFCzsst.js → 200 (?ms, 11956B)
[2026-03-25T05:45:48.674Z] GET http://localhost:8080/assets/Chat-CIMxpOBo.css → 200 (1ms, 10907B)
[2026-03-25T05:45:48.988Z] GET http://localhost:8080/api/documents → 200 (34ms, 1151B)
[2026-03-25T05:45:48.988Z] GET http://localhost:8080/api/chat/sessions → 200 (13ms, 930B)
[2026-03-25T05:45:48.988Z] GET http://localhost:8080/api/providers → 200 (13ms, 462B)
[2026-03-25T05:45:49.021Z] GET http://localhost:8080/api/chat/sessions/s-4c67f5f62c4f/messages → 200 (6ms, 9837B)
[2026-03-25T05:51:53.493Z] GET http://localhost:5173/chat → 200 (322ms, 979B)
[2026-03-25T05:51:53.820Z] GET http://localhost:5173/@vite/client → 200 (64ms, 204713B)
[2026-03-25T05:51:53.820Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500;600&family=Outfit:wght@300;400;500;600;700&family=Noto+Serif+SC:wght@400;600;700&display=swap → 200 (13ms, 349791B)
[2026-03-25T05:51:53.820Z] GET http://localhost:5173/src/main.tsx → 200 (68ms, 6153B)
[2026-03-25T05:51:53.821Z] GET http://localhost:5173/@react-refresh → 200 (72ms, 111894B)
[2026-03-25T05:51:53.884Z] GET http://localhost:5173/node_modules/.pnpm/vite@8.0.2_@types+node@24.12.0/node_modules/vite/dist/client/env.mjs → 200 (18ms, 3478B)
[2026-03-25T05:51:53.889Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=4499d2cb → 200 (22ms, 38367B)
[2026-03-25T05:51:53.892Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=4499d2cb → 200 (20ms, 790B)
[2026-03-25T05:51:53.892Z] GET http://localhost:5173/node_modules/.vite/deps/antd.js?v=4499d2cb → 200 (214ms, 9764552B)
[2026-03-25T05:51:53.892Z] GET http://localhost:5173/node_modules/.vite/deps/@tanstack_react-query.js?v=4499d2cb → 200 (144ms, 100059B)
[2026-03-25T05:51:53.892Z] GET http://localhost:5173/node_modules/.vite/deps/antd_locale_zh_CN.js?v=4499d2cb → 200 (144ms, 10939B)
[2026-03-25T05:51:53.892Z] GET http://localhost:5173/src/theme/tokens.ts → 200 (145ms, 11622B)
[2026-03-25T05:51:53.892Z] GET http://localhost:5173/src/stores/themeStore.ts → 200 (148ms, 3010B)
[2026-03-25T05:51:53.892Z] GET http://localhost:5173/src/App.tsx → 200 (150ms, 8383B)
[2026-03-25T05:51:53.892Z] GET http://localhost:5173/src/global.css → 200 (151ms, 5892B)
[2026-03-25T05:51:53.892Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=4499d2cb → 200 (154ms, 10637B)
[2026-03-25T05:51:53.912Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-BoAXSpZd.js?v=4499d2cb → 200 (134ms, 7521B)
[2026-03-25T05:51:53.912Z] GET http://localhost:5173/node_modules/.vite/deps/client-DNi2f_-5.js?v=4499d2cb → 200 (158ms, 821150B)
[2026-03-25T05:51:54.037Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-runtime.js?v=4499d2cb → 200 (18ms, 10947B)
[2026-03-25T05:51:54.040Z] GET http://localhost:5173/node_modules/.vite/deps/zustand.js?v=4499d2cb → 200 (16ms, 2149B)
[2026-03-25T05:51:54.043Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=4499d2cb → 200 (28ms, 390895B)
[2026-03-25T05:51:54.043Z] GET http://localhost:5173/src/layouts/AppLayout.tsx → 200 (15ms, 11725B)
[2026-03-25T05:51:54.059Z] GET http://localhost:5173/node_modules/.vite/deps/@ant-design_icons.js?v=4499d2cb → 200 (48ms, 2427008B)
[2026-03-25T05:51:54.059Z] GET http://localhost:5173/src/layouts/AppLayout.module.css → 200 (13ms, 4580B)
[2026-03-25T05:51:54.071Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=4499d2cb → 200 (30ms, 14728B)
[2026-03-25T05:51:54.108Z] GET http://localhost:5173/node_modules/.vite/deps/ref-onVvw9YY.js?v=4499d2cb → 200 (229ms, ?B)
[2026-03-25T05:51:54.506Z] GET http://localhost:5173/src/pages/Chat/index.tsx → 200 (11ms, 103181B)
[2026-03-25T05:51:54.515Z] GET https://fonts.gstatic.com/s/outfit/v15/QGYvz_MVcBeNP4NJtEtq.woff2 → 200 (6ms, 32292B)
[2026-03-25T05:51:54.521Z] GET http://localhost:5173/node_modules/.vite/deps/react-markdown.js?v=4499d2cb → 200 (86ms, 466015B)
[2026-03-25T05:51:54.521Z] GET http://localhost:5173/node_modules/.vite/deps/rehype-sanitize.js?v=4499d2cb → 200 (25ms, 20175B)
[2026-03-25T05:51:54.521Z] GET http://localhost:5173/src/hooks/index.ts → 200 (22ms, 1299B)
[2026-03-25T05:51:54.521Z] GET http://localhost:5173/src/services/index.ts → 200 (23ms, 1237B)
[2026-03-25T05:51:54.521Z] GET http://localhost:5173/src/stores/index.ts → 200 (20ms, 300B)
[2026-03-25T05:51:54.521Z] GET http://localhost:5173/src/pages/Chat/Chat.module.css → 200 (18ms, 22247B)
[2026-03-25T05:51:54.541Z] GET http://localhost:5173/src/stores/chatStore.ts → 200 (10ms, 8968B)
[2026-03-25T05:51:54.543Z] GET http://localhost:5173/src/hooks/useDocuments.ts → 200 (13ms, 4294B)
[2026-03-25T05:51:54.543Z] GET http://localhost:5173/src/hooks/useSessions.ts → 200 (14ms, 4195B)
[2026-03-25T05:51:54.543Z] GET http://localhost:5173/src/hooks/useProviders.ts → 200 (12ms, 6986B)
[2026-03-25T05:51:54.544Z] GET http://localhost:5173/src/services/documents.ts → 200 (10ms, 2561B)
[2026-03-25T05:51:54.545Z] GET http://localhost:5173/src/services/chat.ts → 200 (10ms, 4613B)
[2026-03-25T05:51:54.545Z] GET http://localhost:5173/src/services/providers.ts → 200 (12ms, 3803B)
[2026-03-25T05:51:54.547Z] GET http://localhost:5173/node_modules/.vite/deps/esm-w7aaEfu9.js?v=4499d2cb → 200 (28ms, 8383B)
[2026-03-25T05:51:54.554Z] GET http://localhost:5173/src/services/api.ts → 200 (5ms, 8746B)
[2026-03-25T05:51:54.560Z] GET http://localhost:5173/node_modules/.vite/deps/axios.js?v=4499d2cb → 200 (48ms, 97054B)
[2026-03-25T05:51:54.818Z] GET http://localhost:5173/api/documents → 200 (114ms, 1151B)
[2026-03-25T05:51:54.818Z] GET http://localhost:5173/api/chat/sessions → 200 (30ms, 930B)
[2026-03-25T05:51:54.819Z] GET http://localhost:5173/api/providers → 200 (28ms, 462B)
[2026-03-25T05:51:54.928Z] GET http://localhost:5173/api/chat/sessions/s-4c67f5f62c4f/messages → 200 (6ms, 9837B)
[2026-03-25T05:51:54.928Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (1ms, 31432B)
[2026-03-25T05:52:38.450Z] GET http://localhost:5173/documents → pending (?ms, ?B)
[2026-03-25T05:52:38.779Z] GET http://localhost:5173/@vite/client → 200 (11ms, 204713B)
